Country_Name,Total_Medals,,,,,
United States of America,41,39,41,33,113,1
People's Republic of China,32,38,32,18,88,2
Japan,14,27,14,17,58,5
Great Britain,21,22,21,22,65,4
ROC,28,20,28,23,71,3
Australia,7,17,7,22,46,6
Netherlands,12,10,12,14,36,9
France,12,10,12,11,33,10
Germany,11,10,11,16,37,8
Italy,10,10,10,20,40,7
Canada,6,7,6,11,24,11
Brazil,6,7,6,8,21,12
New Zealand,6,7,6,7,20,13
Cuba,3,7,3,5,15,18
Hungary,7,6,7,7,20,13
Republic of Korea,4,6,4,10,20,13
Poland,5,4,5,5,14,19
Czech Republic,4,4,4,3,11,23
Kenya,4,4,4,2,10,25
Norway,2,4,2,2,8,29
Jamaica,1,4,1,4,9,26
Spain,8,3,8,6,17,17
Sweden,6,3,6,0,9,26
Switzerland,4,3,4,6,13,20
Denmark,4,3,4,4,11,23
Croatia,3,3,3,2,8,29
Islamic Republic of Iran,2,3,2,2,7,33
Serbia,1,3,1,5,9,26
Belgium,1,3,1,3,7,33
Bulgaria,1,3,1,2,6,39
Slovenia,1,3,1,1,5,42
Uzbekistan,0,3,0,2,5,42
Georgia,5,2,5,1,8,29
Chinese Taipei,4,2,4,6,12,22
Turkey,2,2,2,9,13,20
Greece,1,2,1,1,4,47
Uganda,1,2,1,1,4,47
Ecuador,1,2,1,0,3,60
Ireland,0,2,0,2,4,47
Israel,0,2,0,2,4,47
Qatar,0,2,0,1,3,60
Bahamas,0,2,0,0,2,66
Kosovo,0,2,0,0,2,66
Ukraine,6,1,6,12,19,16
Belarus,3,1,3,3,7,33
Romania,3,1,3,0,4,47
Venezuela,3,1,3,0,4,47
India,2,1,2,4,7,33
"Hong Kong, China",2,1,2,3,6,39
Philippines,2,1,2,1,4,47
,,1,2,1,4,47
,,1,2,0,3,60
,,1,1,5,7,33
,,1,1,4,6,39
,,1,1,3,5,42
,,1,1,2,4,47
,,1,1,2,4,47
,,1,1,0,2,66
,,1,0,1,2,66
,,1,0,1,2,66
,,1,0,1,2,66
,,1,0,1,2,66
,,1,0,0,1,77
,,1,0,0,1,77
,,1,0,0,1,77
,,0,4,1,5,42
,,0,3,4,7,33
,,0,3,2,5,42
,,0,2,2,4,47
,,0,2,1,3,60
,,0,1,3,4,47
,,0,1,2,3,60
,,0,1,2,3,60
,,0,1,1,2,66
,,0,1,1,2,66
,,0,1,1,2,66
,,0,1,0,1,77
,,0,1,0,1,77
,,0,1,0,1,77
,,0,1,0,1,77
,,0,1,0,1,77
,,0,1,0,1,77
,,0,0,8,8,29
,,0,0,4,4,47
,,0,0,2,2,66
,,0,0,1,1,77
,,0,0,1,1,77
,,0,0,1,1,77
,,0,0,1,1,77
,,0,0,1,1,77
,,0,0,1,1,77
,,0,0,1,1,77
,,0,0,1,1,77
